variant,maxsize,K,hits,misses,hit_rate,total_time_ns
lru_memoize,8,64,63857,36143,0.63857,31406033
lru_memoize,8,256,61887,38113,0.61887,31819724
lru_memoize,8,1024,61581,38419,0.61581,30871226
lru_memoize,16,64,76764,23236,0.76764,26360567
lru_memoize,16,256,72992,27008,0.72992,27281576
lru_memoize,16,1024,72475,27525,0.72475,27661404
lru_memoize,32,64,88343,11657,0.88343,22843697
lru_memoize,32,256,81624,18376,0.81624,24646569
lru_memoize,32,1024,80490,19510,0.8049,25251203
lru_memoize,64,64,99936,64,0.99936,19859773
lru_memoize,64,256,88357,11643,0.88357,22974118
lru_memoize,64,1024,86339,13661,0.86339,23551217
lru_memoize,128,64,99936,64,0.99936,19607612
lru_memoize,128,256,94125,5875,0.94125,21323601
lru_memoize,128,1024,90686,9314,0.90686,22333138
lru_memoize,256,64,99936,64,0.99936,19800329
lru_memoize,256,256,99744,256,0.99744,19961586
lru_memoize,256,1024,94059,5941,0.94059,22222618
functools.lru_cache,8,64,63857,36143,0.63857,12263651
functools.lru_cache,8,256,61887,38113,0.61887,12355043
functools.lru_cache,8,1024,61581,38419,0.61581,12725422
functools.lru_cache,16,64,76764,23236,0.76764,10358540
functools.lru_cache,16,256,72992,27008,0.72992,10911129
functools.lru_cache,16,1024,72475,27525,0.72475,11208723
functools.lru_cache,32,64,88343,11657,0.88343,8986223
functools.lru_cache,32,256,81624,18376,0.81624,9568206
functools.lru_cache,32,1024,80490,19510,0.8049,10173208
functools.lru_cache,64,64,99936,64,0.99936,7871802
functools.lru_cache,64,256,88357,11643,0.88357,8858081
functools.lru_cache,64,1024,86339,13661,0.86339,9313673
functools.lru_cache,128,64,99936,64,0.99936,7775227
functools.lru_cache,128,256,94125,5875,0.94125,8578431
functools.lru_cache,128,1024,90686,9314,0.90686,9028170
functools.lru_cache,256,64,99936,64,0.99936,7940381
functools.lru_cache,256,256,99744,256,0.99744,8014905
functools.lru_cache,256,1024,94059,5941,0.94059,8574630
