variant,trial,total_time_ns,calls,per_call_ns
bare,0,41845032,1000000,41.845032
bare,1,34945139,1000000,34.945139
bare,2,29247965,1000000,29.247965
bare,3,29333885,1000000,29.333885
bare,4,29322147,1000000,29.322147
bare,5,29100543,1000000,29.100543
bare,6,29322006,1000000,29.322006
bare,7,28954656,1000000,28.954656
bare,8,29521949,1000000,29.521949
bare,9,28503538,1000000,28.503538
bare,10,29259375,1000000,29.259375
bare,11,29208684,1000000,29.208684
bare,12,29207609,1000000,29.207609
bare,13,29472803,1000000,29.472803
bare,14,29012725,1000000,29.012725
bare,15,29773922,1000000,29.773922
bare,16,29386991,1000000,29.386991
bare,17,29928445,1000000,29.928445
bare,18,28728008,1000000,28.728008
bare,19,29181363,1000000,29.181363
memoize,0,117928537,1000000,117.928537
memoize,1,118463988,1000000,118.463988
memoize,2,118552301,1000000,118.552301
memoize,3,117492932,1000000,117.492932
memoize,4,117052043,1000000,117.052043
memoize,5,118593910,1000000,118.59391
memoize,6,118654113,1000000,118.654113
memoize,7,117456777,1000000,117.456777
memoize,8,118113818,1000000,118.113818
memoize,9,117430117,1000000,117.430117
memoize,10,118684589,1000000,118.684589
memoize,11,117869776,1000000,117.869776
memoize,12,117417086,1000000,117.417086
memoize,13,118207221,1000000,118.207221
memoize,14,117593131,1000000,117.593131
memoize,15,118607697,1000000,118.607697
memoize,16,118294889,1000000,118.294889
memoize,17,118967779,1000000,118.967779
memoize,18,118130174,1000000,118.130174
memoize,19,118166409,1000000,118.166409
lru_memoize(128),0,157742999,1000000,157.742999
lru_memoize(128),1,154739518,1000000,154.739518
lru_memoize(128),2,157286053,1000000,157.286053
lru_memoize(128),3,154393934,1000000,154.393934
lru_memoize(128),4,157398820,1000000,157.39882
lru_memoize(128),5,154245906,1000000,154.245906
lru_memoize(128),6,157824548,1000000,157.824548
lru_memoize(128),7,153633336,1000000,153.633336
lru_memoize(128),8,153114443,1000000,153.114443
lru_memoize(128),9,154911369,1000000,154.911369
lru_memoize(128),10,151096081,1000000,151.096081
lru_memoize(128),11,153851723,1000000,153.851723
lru_memoize(128),12,158146999,1000000,158.146999
lru_memoize(128),13,155041272,1000000,155.041272
lru_memoize(128),14,158531537,1000000,158.531537
lru_memoize(128),15,155532589,1000000,155.532589
lru_memoize(128),16,158546618,1000000,158.546618
lru_memoize(128),17,154858916,1000000,154.858916
lru_memoize(128),18,157995458,1000000,157.995458
lru_memoize(128),19,154801992,1000000,154.801992
functools.lru_cache(128),0,44030739,1000000,44.030739
functools.lru_cache(128),1,43548716,1000000,43.548716
functools.lru_cache(128),2,43395869,1000000,43.395869
functools.lru_cache(128),3,44170060,1000000,44.17006
functools.lru_cache(128),4,43339480,1000000,43.33948
functools.lru_cache(128),5,43581090,1000000,43.58109
functools.lru_cache(128),6,43453792,1000000,43.453792
functools.lru_cache(128),7,43392378,1000000,43.392378
functools.lru_cache(128),8,43243133,1000000,43.243133
functools.lru_cache(128),9,43727138,1000000,43.727138
functools.lru_cache(128),10,43760569,1000000,43.760569
functools.lru_cache(128),11,43673165,1000000,43.673165
functools.lru_cache(128),12,43596279,1000000,43.596279
functools.lru_cache(128),13,43522476,1000000,43.522476
functools.lru_cache(128),14,43843732,1000000,43.843732
functools.lru_cache(128),15,43265611,1000000,43.265611
functools.lru_cache(128),16,43349824,1000000,43.349824
functools.lru_cache(128),17,43664596,1000000,43.664596
functools.lru_cache(128),18,43251057,1000000,43.251057
functools.lru_cache(128),19,43761496,1000000,43.761496
