variant,n,trial,time_ns
memoize,10,0,14888
memoize,10,1,7089
memoize,10,2,5973
memoize,10,3,5338
memoize,10,4,5130
memoize,10,5,5026
memoize,10,6,5038
memoize,10,7,4872
memoize,10,8,4792
memoize,10,9,4900
memoize,15,0,9565
memoize,15,1,11660
memoize,15,2,7161
memoize,15,3,7415
memoize,15,4,10737
memoize,15,5,7184
memoize,15,6,7170
memoize,15,7,12982
memoize,15,8,7013
memoize,15,9,7166
memoize,20,0,15542
memoize,20,1,9985
memoize,20,2,12808
memoize,20,3,9586
memoize,20,4,9255
memoize,20,5,13436
memoize,20,6,9288
memoize,20,7,12228
memoize,20,8,9546
memoize,20,9,9353
memoize,25,0,19346
memoize,25,1,12275
memoize,25,2,14451
memoize,25,3,14848
memoize,25,4,16986
memoize,25,5,11919
memoize,25,6,14422
memoize,25,7,11360
memoize,25,8,14303
memoize,25,9,11445
memoize,30,0,22634
memoize,30,1,14049
memoize,30,2,22284
memoize,30,3,14061
memoize,30,4,14005
memoize,30,5,16851
memoize,30,6,13749
memoize,30,7,16694
memoize,30,8,13726
memoize,30,9,21746
memoize,35,0,21569
memoize,35,1,16537
memoize,35,2,19165
memoize,35,3,19211
memoize,35,4,16257
memoize,35,5,21508
memoize,35,6,19144
memoize,35,7,19043
memoize,35,8,18911
memoize,35,9,16321
memoize,40,0,30981
memoize,40,1,21743
memoize,40,2,18360
memoize,40,3,18223
memoize,40,4,34307
memoize,40,5,25334
memoize,40,6,18727
memoize,40,7,23869
memoize,40,8,21007
memoize,40,9,23598
lru_memoize(None),10,0,19437
lru_memoize(None),10,1,9282
lru_memoize(None),10,2,13746
lru_memoize(None),10,3,7556
lru_memoize(None),10,4,7425
lru_memoize(None),10,5,8111
lru_memoize(None),10,6,7271
lru_memoize(None),10,7,6921
lru_memoize(None),10,8,6985
lru_memoize(None),10,9,9778
lru_memoize(None),15,0,11870
lru_memoize(None),15,1,13876
lru_memoize(None),15,2,13615
lru_memoize(None),15,3,10515
lru_memoize(None),15,4,10208
lru_memoize(None),15,5,9782
lru_memoize(None),15,6,15108
lru_memoize(None),15,7,13363
lru_memoize(None),15,8,12911
lru_memoize(None),15,9,9687
lru_memoize(None),20,0,14656
lru_memoize(None),20,1,16545
lru_memoize(None),20,2,16968
lru_memoize(None),20,3,15815
lru_memoize(None),20,4,17061
lru_memoize(None),20,5,13281
lru_memoize(None),20,6,21790
lru_memoize(None),20,7,13143
lru_memoize(None),20,8,16567
lru_memoize(None),20,9,12842
lru_memoize(None),25,0,24870
lru_memoize(None),25,1,19952
lru_memoize(None),25,2,16795
lru_memoize(None),25,3,29096
lru_memoize(None),25,4,17045
lru_memoize(None),25,5,19666
lru_memoize(None),25,6,16443
lru_memoize(None),25,7,24853
lru_memoize(None),25,8,19268
lru_memoize(None),25,9,19554
lru_memoize(None),30,0,25275
lru_memoize(None),30,1,25577
lru_memoize(None),30,2,20249
lru_memoize(None),30,3,25082
lru_memoize(None),30,4,22990
lru_memoize(None),30,5,25021
lru_memoize(None),30,6,23295
lru_memoize(None),30,7,19899
lru_memoize(None),30,8,28510
lru_memoize(None),30,9,20434
lru_memoize(None),35,0,34180
lru_memoize(None),35,1,23691
lru_memoize(None),35,2,31987
lru_memoize(None),35,3,39395
lru_memoize(None),35,4,23332
lru_memoize(None),35,5,31630
lru_memoize(None),35,6,25791
lru_memoize(None),35,7,26566
lru_memoize(None),35,8,26166
lru_memoize(None),35,9,28401
lru_memoize(None),40,0,30785
lru_memoize(None),40,1,35599
lru_memoize(None),40,2,32486
lru_memoize(None),40,3,29492
lru_memoize(None),40,4,29255
lru_memoize(None),40,5,33289
lru_memoize(None),40,6,32307
lru_memoize(None),40,7,28793
lru_memoize(None),40,8,32236
lru_memoize(None),40,9,29281
lru_memoize(128),10,0,11084
lru_memoize(128),10,1,7994
lru_memoize(128),10,2,34118
lru_memoize(128),10,3,7864
lru_memoize(128),10,4,12669
lru_memoize(128),10,5,7384
lru_memoize(128),10,6,7253
lru_memoize(128),10,7,10314
lru_memoize(128),10,8,9849
lru_memoize(128),10,9,6874
lru_memoize(128),15,0,27273
lru_memoize(128),15,1,10978
lru_memoize(128),15,2,14261
lru_memoize(128),15,3,10910
lru_memoize(128),15,4,13103
lru_memoize(128),15,5,13320
lru_memoize(128),15,6,11194
lru_memoize(128),15,7,10561
lru_memoize(128),15,8,19571
lru_memoize(128),15,9,10307
lru_memoize(128),20,0,15502
lru_memoize(128),20,1,19916
lru_memoize(128),20,2,14027
lru_memoize(128),20,3,19241
lru_memoize(128),20,4,13339
lru_memoize(128),20,5,13411
lru_memoize(128),20,6,16268
lru_memoize(128),20,7,13497
lru_memoize(128),20,8,16608
lru_memoize(128),20,9,16378
lru_memoize(128),25,0,18670
lru_memoize(128),25,1,23839
lru_memoize(128),25,2,17519
lru_memoize(128),25,3,19781
lru_memoize(128),25,4,17064
lru_memoize(128),25,5,22938
lru_memoize(128),25,6,20048
lru_memoize(128),25,7,22877
lru_memoize(128),25,8,19762
lru_memoize(128),25,9,25530
lru_memoize(128),30,0,22254
lru_memoize(128),30,1,27080
lru_memoize(128),30,2,20690
lru_memoize(128),30,3,47254
lru_memoize(128),30,4,21303
lru_memoize(128),30,5,29945
lru_memoize(128),30,6,23924
lru_memoize(128),30,7,23822
lru_memoize(128),30,8,23369
lru_memoize(128),30,9,23465
lru_memoize(128),35,0,32544
lru_memoize(128),35,1,28043
lru_memoize(128),35,2,26881
lru_memoize(128),35,3,30145
lru_memoize(128),35,4,27655
lru_memoize(128),35,5,33267
lru_memoize(128),35,6,24404
lru_memoize(128),35,7,26709
lru_memoize(128),35,8,29794
lru_memoize(128),35,9,27050
lru_memoize(128),40,0,31458
lru_memoize(128),40,1,36315
lru_memoize(128),40,2,27352
lru_memoize(128),40,3,29930
lru_memoize(128),40,4,30007
lru_memoize(128),40,5,36001
lru_memoize(128),40,6,27722
lru_memoize(128),40,7,45967
lru_memoize(128),40,8,34976
lru_memoize(128),40,9,33452
functools.lru_cache(None),10,0,13335
functools.lru_cache(None),10,1,4175
functools.lru_cache(None),10,2,3439
functools.lru_cache(None),10,3,3061
functools.lru_cache(None),10,4,6647
functools.lru_cache(None),10,5,4022
functools.lru_cache(None),10,6,3337
functools.lru_cache(None),10,7,3031
functools.lru_cache(None),10,8,2877
functools.lru_cache(None),10,9,2919
functools.lru_cache(None),15,0,6033
functools.lru_cache(None),15,1,7367
functools.lru_cache(None),15,2,4411
functools.lru_cache(None),15,3,4288
functools.lru_cache(None),15,4,4242
functools.lru_cache(None),15,5,4092
functools.lru_cache(None),15,6,4164
functools.lru_cache(None),15,7,4038
functools.lru_cache(None),15,8,6990
functools.lru_cache(None),15,9,4108
functools.lru_cache(None),20,0,6121
functools.lru_cache(None),20,1,5796
functools.lru_cache(None),20,2,5555
functools.lru_cache(None),20,3,5304
functools.lru_cache(None),20,4,5307
functools.lru_cache(None),20,5,8501
functools.lru_cache(None),20,6,5407
functools.lru_cache(None),20,7,5290
functools.lru_cache(None),20,8,5326
functools.lru_cache(None),20,9,5271
functools.lru_cache(None),25,0,14977
